Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
14688,275,29.47,8.10,-1.93,-0.14,4.76
14743,277,19.96,7.49,-2.63,-0.05,2.69
14798,278,24.98,7.14,-2.13,-0.05,2.20
14853,280,31.36,7.52,-0.75,0.05,3.18
14908,281,23.20,7.99,-0.47,-0.05,1.59
14963,283,28.10,8.73,-0.76,-0.19,1.95
15019,284,33.20,9.03,-0.44,0.00,2.81
15074,286,38.82,8.86,0.61,0.05,1.22
15129,287,29.76,8.27,0.87,0.15,1.46
15184,289,35.71,7.96,0.76,0.05,4.52
15239,290,41.63,8.09,1.02,0.15,1.46
15294,292,47.42,8.09,0.75,0.10,7.57
15349,293,53.56,8.47,0.23,-0.05,4.15
15405,295,44.58,8.56,-0.85,-0.09,3.91
15466,297,49.74,8.73,-1.92,-0.14,10.63
15521,298,55.91,8.74,-1.89,-0.14,3.30
15576,300,47.99,7.88,-1.96,0.20,2.81
15631,301,39.92,7.46,-2.84,0.00,2.08
15686,303,31.00,7.17,-3.53,-0.09,2.32
15741,304,23.02,6.96,-3.31,0.05,2.08
15797,306,14.74,6.63,-3.49,0.15,2.81
15852,307,6.26,5.71,-3.41,-0.05,3.30
15907,309,-2.06,6.38,-2.95,0.00,2.32
15962,310,5.32,6.08,-2.02,0.05,3.79
16017,312,11.30,6.19,-0.78,0.10,1.46
16072,313,17.61,6.71,-0.15,0.10,2.44
16128,315,22.88,7.36,-0.23,-0.09,3.18
16183,316,28.83,7.69,-0.11,0.20,3.18
16238,318,34.28,8.14,0.27,0.10,4.64
16293,319,39.92,8.11,0.53,0.05,2.32
16348,321,30.47,8.22,0.78,-0.09,1.46
16403,322,35.66,7.65,0.84,0.00,1.83
16458,324,40.77,7.55,1.15,0.05,2.32
16520,326,46.36,7.33,1.42,0.05,1.83
16575,327,37.43,7.07,1.25,-0.05,3.91
16630,329,42.62,6.85,1.18,-0.05,5.74
16685,330,48.78,7.85,1.41,-0.05,4.40
16740,332,54.04,7.53,0.72,0.05,10.63
16795,333,59.44,7.81,-0.03,-0.14,4.76
16850,335,63.93,7.65,-0.98,0.00,3.91
16912,337,68.51,7.65,-1.72,-0.05,5.01
16967,338,73.44,7.28,-2.29,0.15,5.50
17022,340,78.12,6.81,-3.13,-0.09,4.76
17078,341,83.96,5.98,-4.31,0.15,3.79
17133,343,88.19,5.87,-4.64,-0.05,1.83
17188,344,78.36,5.68,-4.33,-0.09,0.49
17243,346,68.57,5.47,-4.37,0.05,3.54
17298,347,58.67,5.37,-5.18,0.00,1.95
17353,349,63.01,5.28,-5.56,0.00,1.95
17409,350,67.68,5.05,-4.33,0.05,3.79
17464,352,57.61,5.55,-3.26,0.10,3.18
17519,353,47.70,5.66,-3.20,0.00,2.81
17574,355,52.28,5.87,-3.41,0.10,3.91
17629,356,56.46,6.08,-3.15,0.05,2.20
17684,358,46.39,5.64,-3.04,-0.14,2.44
17739,359,51.22,5.20,-3.58,0.20,2.20
17794,361,56.29,5.14,-3.57,0.20,2.32
17849,362,46.86,5.16,-3.14,0.00,1.22
17904,364,37.86,5.24,-3.17,0.05,2.32
17959,365,43.59,5.18,-2.76,0.10,1.59
18015,367,48.63,5.02,-2.82,-0.09,3.79
18070,368,53.58,4.77,-2.80,0.00,1.83
18125,370,58.32,4.88,-2.64,0.10,1.71
18180,371,62.96,5.11,-3.22,0.00,4.15
18235,373,67.02,5.44,-4.11,-0.09,5.74
18290,374,71.75,5.99,-5.09,-0.09,4.40
18345,376,75.41,5.77,-6.36,-0.05,6.35
18401,377,79.72,5.88,-7.26,0.05,4.28
18456,379,83.93,5.99,-8.00,0.05,4.52
18511,380,72.91,5.67,-8.37,-0.14,4.89
18566,382,63.70,5.15,-8.85,0.05,4.52
18621,383,68.82,4.83,-9.18,0.00,4.64
18676,385,73.72,4.37,-9.36,0.10,2.20
18732,386,78.39,4.11,-9.32,-0.14,2.69
18787,388,83.88,2.95,-8.76,-0.14,3.79
18842,389,74.50,2.90,-8.63,0.05,2.44
18897,391,64.54,2.71,-9.29,-0.14,2.08
18952,392,55.12,2.09,-9.80,0.10,2.44
19007,394,45.38,2.34,-9.83,0.00,3.79
19062,395,36.25,2.73,-9.65,0.00,2.81
19117,397,26.67,2.81,-10.04,-0.05,5.13
19172,398,32.04,2.74,-10.39,-0.05,1.83
19227,400,37.42,3.08,-9.66,0.05,2.08
19282,401,42.96,2.49,-8.98,-0.09,9.28
19338,403,46.96,1.17,-7.15,-0.09,3.42
19393,404,38.82,1.09,-4.94,0.20,2.56
19448,406,28.63,2.02,-3.80,0.05,2.81
19503,407,33.58,2.62,-3.46,-0.14,1.22
19558,409,38.04,2.94,-3.21,0.00,6.60
19613,410,42.95,2.87,-2.58,0.05,2.81
19668,412,48.52,2.12,-2.06,0.15,1.59
19730,414,53.23,1.63,-1.97,-0.05,2.44
19785,415,57.93,1.85,-2.03,0.10,4.15
19841,417,62.54,1.70,-2.25,0.00,1.95
19896,418,66.70,1.99,-2.30,0.00,3.18
19951,420,70.15,2.10,-2.51,-0.19,3.54
20006,421,74.49,1.53,-2.65,0.00,2.20
20061,423,78.04,1.44,-3.45,0.05,3.66
20116,424,81.69,1.65,-3.51,0.00,0.98
20171,426,70.77,1.57,-3.59,0.15,2.20
20226,427,74.60,1.18,-3.61,0.10,2.20
20281,429,78.71,0.98,-3.16,-0.19,4.03
20336,430,82.07,1.09,-2.86,0.00,4.76
20391,432,85.53,1.91,-2.85,0.25,5.13
20453,434,88.52,2.27,-3.24,0.00,3.91
20508,435,91.79,2.75,-3.74,-0.14,5.86
20563,437,94.64,2.59,-4.45,-0.05,5.13
20619,438,98.00,3.15,-4.26,0.05,4.89
20674,440,87.20,3.24,-4.09,-0.05,3.91
20729,441,90.76,3.72,-4.41,-0.09,5.99
20784,443,94.34,4.00,-4.91,-0.05,4.64
20839,444,97.35,3.99,-5.25,0.05,6.84
20894,446,100.18,4.30,-5.55,0.00,6.72
20950,447,104.09,3.26,-6.09,0.20,5.74
21005,449,108.28,2.56,-6.49,0.00,6.35
21060,450,112.22,1.90,-6.77,0.15,3.42
21115,452,116.18,1.39,-6.27,0.05,1.10
21170,453,105.52,1.24,-6.05,0.20,1.22
21225,455,94.67,1.37,-6.62,-0.05,2.93
21280,456,83.50,1.85,-8.33,-0.05,2.32
21336,458,86.05,1.85,-9.30,-0.09,4.28
21391,459,88.89,2.43,-8.13,0.00,2.81
21446,461,77.36,2.58,-6.43,-0.24,2.69
21501,462,65.53,2.50,-5.23,-0.05,4.03
21557,464,67.73,2.84,-4.33,0.15,1.71
21612,465,69.83,3.15,-3.86,0.10,5.13
21667,467,72.41,3.65,-4.21,-0.09,3.30
21722,468,75.14,3.06,-4.75,0.10,2.08
21777,470,78.49,1.85,-4.89,0.05,4.40
21832,471,82.68,1.01,-4.78,0.00,3.54
21888,473,87.03,-0.39,-4.24,0.10,3.05
21943,474,77.55,-0.54,-4.02,0.05,3.91
21998,476,67.54,-0.78,-4.76,0.10,3.66
22053,477,72.28,-1.20,-5.48,0.05,3.91
22108,479,78.02,-1.26,-6.02,-0.09,5.62
22163,480,82.57,-0.92,-6.27,0.05,4.64
22218,482,87.28,-0.44,-6.95,-0.09,2.93
22280,484,77.77,0.87,-7.58,0.00,6.96
22335,485,68.26,1.65,-8.50,0.05,4.03
22390,487,58.94,2.71,-9.20,-0.05,2.44
22445,488,49.66,2.61,-10.10,-0.05,3.91
22500,490,41.25,2.06,-10.44,0.00,3.54
22555,491,33.15,2.00,-10.53,-0.09,2.69
22610,493,24.62,1.64,-10.57,0.10,4.28
22666,494,15.73,1.38,-10.53,0.00,3.91
22721,496,21.30,1.28,-9.80,0.10,4.76
22776,497,12.80,1.61,-8.56,0.00,3.30
22831,499,18.88,1.44,-7.83,0.05,2.81
22886,500,9.86,1.83,-7.24,0.00,2.69
22941,502,15.33,2.14,-6.65,-0.14,4.76
22996,503,21.26,1.85,-6.17,0.05,2.44
23052,505,26.39,2.05,-6.03,0.05,6.11
23107,506,31.85,2.35,-6.06,-0.05,2.81
23162,508,36.53,2.09,-6.43,0.15,1.95
23217,509,41.29,0.94,-6.31,0.05,2.44
23272,511,46.31,0.79,-6.36,-0.05,1.22
23327,512,51.18,0.61,-6.29,-0.09,1.95
23383,514,56.14,0.41,-6.39,-0.05,3.66
23444,516,61.12,-0.12,-6.50,-0.05,3.91
23499,517,66.91,-0.47,-6.73,0.15,5.99
23554,519,72.90,-0.27,-7.15,0.00,6.11
23609,520,77.43,0.23,-7.78,-0.05,3.66
23664,522,82.75,1.30,-8.77,0.05,2.81
23719,523,73.39,2.76,-10.17,0.00,2.69
23775,525,63.79,2.96,-11.11,0.10,2.93
23830,526,54.50,3.61,-11.27,-0.05,2.32
23885,528,46.13,3.36,-10.63,-0.05,4.64
23940,529,37.19,3.18,-10.39,0.00,4.64
23995,531,27.89,2.65,-10.49,0.00,6.11
24050,532,18.42,2.01,-9.83,0.05,4.52
24105,534,8.81,2.29,-8.79,0.00,1.95
24161,535,14.54,2.22,-8.25,0.05,2.08
24216,537,20.08,2.90,-7.98,0.00,3.54
24271,538,24.61,3.78,-7.75,0.00,2.44
24326,540,29.60,3.68,-7.86,0.00,2.56
24381,541,35.18,3.59,-8.11,-0.09,0.98
24436,543,40.47,3.45,-8.23,0.00,0.85
24492,544,45.74,2.55,-7.75,0.00,2.44
24547,546,50.83,2.02,-7.43,0.00,2.08
24602,547,56.17,1.64,-7.64,-0.05,2.93
24657,549,61.95,1.32,-7.76,-0.05,4.28
24712,550,67.19,1.95,-8.08,-0.05,3.54
24767,552,72.44,3.23,-8.80,-0.14,6.23
24822,553,77.27,4.13,-9.88,-0.05,2.44
24877,555,67.53,4.31,-10.75,-0.05,1.59
24932,556,58.03,3.83,-10.83,-0.14,2.20
24987,558,48.85,3.91,-10.71,0.10,4.89
25042,559,39.34,4.16,-10.25,0.10,3.42
25098,561,29.68,4.61,-9.78,0.05,4.28
25153,562,19.84,4.63,-9.36,-0.14,1.34
25208,564,24.55,5.29,-8.75,0.05,1.46
25263,565,29.98,5.60,-8.29,-0.14,2.69
25318,567,35.40,5.43,-8.49,0.05,1.46
25373,568,40.43,4.83,-9.00,-0.05,0.49
25428,570,45.42,4.60,-8.91,0.05,3.05
25484,571,50.80,3.64,-9.12,0.00,1.71
25539,573,56.10,2.83,-8.86,0.10,5.37
25594,574,47.96,2.40,-8.69,-0.09,3.18
25649,576,39.00,3.06,-9.06,0.05,2.69
25704,577,45.49,2.99,-9.75,-0.09,3.66
25759,579,51.79,3.78,-9.76,-0.05,3.18
25815,580,43.74,4.70,-10.31,0.00,2.08
25870,582,34.98,5.00,-11.65,0.05,2.93
25925,583,40.71,5.17,-12.29,0.00,1.46
25980,585,32.28,5.10,-11.91,-0.09,1.71
26036,586,23.79,5.05,-11.83,-0.05,3.79
26091,588,29.25,5.76,-11.66,-0.09,3.42
26146,589,20.63,6.07,-10.91,-0.05,2.93
26201,591,11.44,6.12,-10.26,0.05,3.30
26256,592,17.29,5.98,-9.47,0.00,2.56
26311,594,22.49,6.05,-9.27,0.00,2.93
26366,595,27.61,5.76,-9.54,0.05,1.83
26422,597,32.65,5.05,-9.91,-0.05,0.61
26477,598,38.24,4.84,-9.79,-0.09,0.85
26532,600,43.46,4.78,-9.79,-0.14,0.98
26587,601,48.53,4.07,-9.34,0.00,2.20
26642,603,54.70,3.67,-9.38,-0.09,2.56
26697,604,59.79,3.60,-9.76,0.05,3.05
26753,606,65.38,3.39,-10.02,0.05,3.30
26808,607,71.64,4.38,-10.32,-0.09,4.28
26863,609,76.25,4.72,-11.11,0.15,4.03
26918,610,81.36,5.13,-11.74,-0.05,4.64
26973,612,86.17,4.97,-12.52,0.05,3.18
27028,613,90.44,5.08,-13.12,0.00,2.20
27083,615,81.02,4.31,-12.84,-0.14,5.74
27138,616,70.92,4.13,-12.53,0.05,3.42
27193,618,60.23,4.10,-12.51,0.00,2.69
27248,619,49.79,3.80,-11.93,0.25,4.89
27303,621,39.59,4.06,-11.53,-0.05,4.03
