Calibrando IMU...
IMU lista
Calibrando sensores...
Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
36353,259,55.76,4.74,10.82,0.01,3.69
36406,261,55.76,4.74,10.82,-0.04,1.73
36458,262,55.76,4.74,10.82,0.11,4.79
36510,264,55.76,4.74,10.82,0.16,5.28
36562,265,55.76,4.74,10.82,0.01,2.22
36614,267,55.76,4.74,10.82,0.11,2.71
36668,268,60.51,4.73,10.82,-0.09,1.37
36723,270,52.67,5.17,10.78,-0.04,3.69
36779,271,42.92,5.02,9.57,-0.14,2.35
36834,273,34.19,4.23,8.32,0.06,4.42
36889,274,25.34,4.19,8.89,-0.28,2.59
36944,276,17.23,4.20,9.76,-0.04,2.22
36999,277,8.58,4.15,9.53,0.06,2.47
37054,279,15.37,4.46,9.75,0.01,3.32
37109,280,7.24,5.26,10.86,0.06,1.00
37163,282,7.24,5.26,10.86,-0.09,4.67
37215,283,7.24,5.26,10.86,0.01,2.10
37267,285,7.24,5.26,10.86,0.11,1.37
37319,286,7.24,5.26,10.86,-0.04,1.37
37371,288,7.24,5.26,10.86,0.01,1.00
37423,289,7.24,5.26,10.86,0.11,4.54
37475,291,7.24,5.26,10.86,0.11,3.81
37527,292,7.24,5.26,10.86,-0.04,4.18
37579,294,7.24,5.26,10.86,0.20,4.30
37632,295,7.24,5.26,10.86,0.01,4.18
37686,297,6.92,5.06,10.87,-0.09,4.54
37738,298,6.92,5.06,10.87,0.06,4.67
37790,300,6.92,5.06,10.87,-0.04,4.79
37842,301,6.92,5.06,10.87,0.06,1.12
37896,303,6.62,4.86,10.87,0.06,5.03
37950,304,-0.66,4.46,10.87,-0.04,3.32
38005,306,-7.64,3.59,10.59,0.06,2.10
38067,308,-14.23,3.12,11.75,-0.09,3.69
38122,309,-21.58,3.49,12.43,-0.09,4.79
38177,311,-29.03,3.34,12.96,0.16,2.83
38232,312,-21.12,3.07,13.94,0.06,1.12
38287,314,-14.13,3.72,14.81,0.06,5.03
38342,315,-7.63,3.82,14.91,0.01,1.73
38397,317,-1.33,4.61,15.15,-0.19,5.40
38453,318,5.23,5.01,15.64,-0.09,1.73
38508,320,12.13,5.60,15.87,-0.09,1.49
38561,321,12.13,5.60,15.87,0.01,1.73
