time_s,hip_fl_rad,knee_fl_rad,hip_fr_rad,knee_fr_rad,hip_rl_rad,knee_rl_rad,hip_rr_rad,knee_rr_rad,hip_fl_deg,knee_fl_deg,hip_fr_deg,knee_fr_deg,hip_rl_deg,knee_rl_deg,hip_rr_deg,knee_rr_deg
2.225,-0.906933126713544,1.64204386738487,-1.20203814724354,1.35488294381932,-1.23280245885365,1.3776324428358,-0.722560497465584,1.6966719914241,-51.9634404612896,94.0821833764928,-68.87171265078,77.6290744151078,-70.6343778656647,78.932524694789,-41.3996669476512,97.2121443266577
2.25,-0.925278689680475,1.63489491713873,-1.19335951402892,1.37714766751185,-1.21669952980801,1.4022149384949,-0.74128629260872,1.68728928003562,-53.0145637920862,93.6725786994399,-68.3744635956403,78.9047491147146,-69.7117479935506,80.3409979459543,-42.4725759773794,96.674554563708
2.275,-0.941965794304897,1.62274776097733,-1.17843892263778,1.40159077696202,-1.19696638512911,1.42904887118402,-0.760502868418439,1.67671089087888,-53.9706644593588,92.976597918305,-67.5195766810883,80.3052361243856,-68.5811220869287,81.8784690367787,-43.5736046679695,96.0684575109801
2.3,-0.958510038616992,1.6079254242819,-1.15945656419087,1.42781198982754,-1.17533721688905,1.4556630225995,-0.780814834846174,1.66564155539094,-54.9185798336752,92.1273405831348,-66.4319676568761,81.807600955294,-67.3418620323951,83.4033475882077,-44.7373946178902,95.434231305507
2.325,-0.975685197512563,1.59171507560237,-1.13777715535872,1.45517406559308,-1.15185369958362,1.48022294144364,-0.802007781893378,1.65428186573622,-55.902643950858,91.1985560193624,-65.1898290284551,83.3753324153769,-65.9963556026711,84.8105272831611,-45.9516610391392,94.783369031713
2.35,-0.993282145952894,1.57507720798028,-1.11400246527752,1.48337077265942,-1.12749548844848,1.50027493515363,-0.823946248244497,1.64261081408823,-56.9108748287983,90.2452764245195,-63.8276396275708,84.9908847264449,-64.6007329081394,85.9594218935663,-47.2086425700481,94.1146670298042
2.375,-1.01163124746191,1.55831720582503,-1.08835799943102,1.51225176564667,-1.10292260046541,1.51747308499112,-0.846642911001562,1.63058052407652,-57.962200903122,89.2849990363934,-62.3583199666992,86.6456437327612,-63.1928101362616,86.9448032946882,-48.5090655550597,93.4253821858148
2.4,-1.03092672228089,1.54140515325927,-1.06089558299255,1.54171254887597,-1.07856740875433,1.53158679973299,-0.870025595724045,1.61800633263376,-59.0677501739508,88.3160098014719,-60.7848394095439,88.33362227295,-61.7973604419844,87.7534595826489,-49.848794703343,92.7049340853547
2.425,-1.05124817075874,1.52434617505541,-1.03165252701811,1.57163189133674,-1.05474093310116,1.54373697175323,-0.894027866596967,1.60471008078131,-60.2320834053241,87.3386023475853,-59.1093357221436,90.0478743217584,-60.432203946387,88.4496131597662,-51.2240235230912,91.9431149708664
2.45,-1.07248927785318,1.50687490688144,-1.00074475531934,1.60187927231276,-1.0310001741757,1.55520896284467,-0.918543928669061,1.59048114267482,-61.4491091940208,86.3375724184757,-57.3384508496503,91.7809215930086,-59.0719586575203,89.1069098319174,-52.6286904101029,91.1278568704115
