time_s,hip_fl_deg,hip_fl_cmd,knee_fl_deg,knee_fl_cmd,hip_fr_deg,hip_fr_cmd,knee_fr_deg,knee_fr_cmd,hip_rl_deg,hip_rl_cmd,knee_rl_deg,knee_rl_cmd,hip_rr_deg,hip_rr_cmd,knee_rr_deg,knee_rr_cmd
4.4,153.244163195252,153,160,160,29.1668075374097,29,180,180,26.9120938381997,27,169.532116590003,170,31.7010190296142,32,177.22959197311,177
4.45,151.594694751896,152,160,160,26.0411174352654,26,180,180,25.6938041573345,26,168.724601806294,169,33.1959027417284,33,179.945611795953,180
4.5,152.916428192048,153,160,160,27.9962059036195,28,180,180,27.7946930330033,28,171.494998020937,171,36.8789994794913,37,180,180
4.55,154.415126147839,154,160,160,31.6761373594598,32,180,180,27.8952361084098,28,172.276871848373,172,37.6852872760127,38,179.988310995958,180
4.6,156.2261537917,156,160,160,35.382283911306,35,180,180,28.8168243755404,29,173.466712560649,173,35.8043238192641,36,178.27676014249,178
4.65,156.920335978672,157,160,160,39.2500817361819,39,180,180,31.9206355759288,32,174.999979069614,175,35.3377734154878,35,175.30079309409,175
4.7,158.177564907151,158,160,160,42.9021891988113,43,180,180,34.5844163593875,35,176.988563524058,177,33.7434495272629,34,173.010097559121,173
4.75,159.18709354052,159,160,160,46.6636338315013,47,180,180,37.6691515596434,38,177.901383223217,178,33.2775110150737,33,170.059568928338,170
4.8,160.164388874147,160,160,160,50.3273133423861,50,180,180,41.0933762618794,41,178.957793716555,179,32.915785898759,33,167.006626462267,167
4.85,160.986411889646,161,160,160,51.3865080226947,51,180,180,43.4475508196409,43,178.923381979099,179,32.1996467463397,32,164.166616257925,164
4.9,160.950049946507,161,160,160,48.3490649198219,48,180,180,41.2287298032116,41,177.487253349817,177,30.2951994736375,30,163.673708426843,164
4.95,160.226722556564,160,160,160,45.4659130584462,45,180,180,38.811248353673,39,176.166411368785,176,31.0357123742042,31,166.646634068328,167
5,159.351276316025,159,160,160,42.4672335487455,42,180,180,36.2354099345417,36,174.632447454871,175,31.9830086625122,32,169.793002089424,170
5.05,157.946344708091,158,160,160,39.2861229118841,39,180,180,33.4125091334343,33,172.953034993559,173,33.039161709831,33,173.083161594268,173
5.1,155.855459415232,156,160,160,35.8962180653908,36,180,180,30.3270389729768,30,171.122360178406,171,34.1462655737609,34,176.477431063453,176
5.15,152.665148711946,153,160,160,32.3116029983005,32,180,180,27.0320643303098,27,169.076915057001,169,35.4200555902884,35,179.887836054391,180
5.2,148.858934658797,149,160,160,28.6251737009464,29,180,180,23.6570946748146,24,166.693132482477,167,37.3906938244998,37,180,180
5.25,149.994130722723,150,160,160,25.3150974372221,25,180,180,22.1851285200353,22,166.180473319004,166,39.7545124972164,40,180,180
5.3,152.072883868712,152,160,160,27.1999295161844,27,180,180,23.5103946479157,24,168.394631950463,168,43.3227915592877,43,180,180
5.35,154.038828894189,154,160,160,30.7879735736649,31,180,180,25.1882485478401,25,170.944437321531,171,41.5099499855262,42,180,180
5.4,155.897593618051,156,160,160,34.5576361154127,35,180,180,27.3213605232059,27,172.668737405105,173,39.4947790991196,39,180,180
5.45,157.097392362925,157,160,160,38.4028897718236,38,180,180,30.196525196486,30,173.742584327216,174,38.2078577703224,38,178.088179362704,178
5.5,158.137301678117,158,160,160,42.1522442839737,42,180,180,33.5972944711178,34,175.534820955028,176,37.126036669636,37,175.299627887976,175
5.55,159.40482732672,159,160,160,45.8710266843,46,180,180,36.8215051184892,37,176.628124073599,177,36.097800975273,36,172.436269809221,172
5.6,160.41793704545,160,160,160,49.2633574621249,49,180,180,40.1286797517855,40,177.13136727266,177,35.8016401552649,36,169.858908386268,170
5.65,160.825425436908,161,160,160,45.904798615009,46,180,180,38.2532095845685,38,175.081069217964,175,33.7707691541962,34,169.002929338943,169
5.7,159.952057468984,160,160,160,42.5163830121436,43,180,180,35.5307585847506,36,173.494641296008,173,34.1147442332191,34,172.054352715629,172
5.75,158.674376535654,159,160,160,39.0986534329441,39,180,180,32.6137938931544,33,171.795499798645,172,35.2932626557412,35,175.37676908707,175
5.8,156.713334728335,157,160,160,35.5251939274754,36,180,180,29.4333808918678,29,169.949766215,170,36.5712665979824,37,178.80445679178,179
5.85,153.647805992812,154,160,160,31.771272788756,32,180,180,26.0213691047495,26,167.890475168005,168,37.8780173321871,38,180,180
5.9,150.952030931869,151,160,160,28.0014879260627,28,180,180,22.5272875807832,23,165.488499770221,165,40.0259280084892,40,180,180
5.95,153.530294192881,154,160,160,27.2982706075408,27,180,180,23.8833974688464,24,166.865146571358,167,42.0071352534781,42,180,180
6,154.755216241527,155,160,160,30.7435481226203,31,180,180,26.1854637616776,26,169.846050531451,170,45.7381208556873,46,180,180
6.05,156.451060643184,156,160,160,34.4298609686374,34,180,180,28.0903427989793,28,172.453218284376,172,46.0771589632491,46,180,180
6.1,157.779236075727,158,160,160,38.2007198722917,38,180,180,30.2973745790291,30,173.555545176407,174,44.1763010642013,44,180,180
6.15,158.435209693655,158,160,160,41.9720695514544,42,180,180,33.3912640722089,33,174.490327842044,174,42.7492165103497,43,177.88008118339,178
6.2,158.886329351415,159,160,160,45.6639819507458,46,180,180,37.0140773387386,37,175.903255297943,176,41.5975915564798,42,175.495275757337,175
6.25,159.635438583183,160,160,160,49.3122152688899,49,180,180,40.4585051776525,40,176.961925712342,177,40.2590638266331,40,173.295384788026,173
6.3,160.141171398362,160,160,160,52.6880396612174,53,180,180,43.8908930668811,44,177.318374057124,177,40.2065877915042,40,172.882297154981,173
6.35,160.483300064151,160,160,160,49.5621045454602,50,180,180,42.1042106194431,42,175.414365146414,175,38.0170294788861,38,171.395934662164,171
6.4,159.492053294231,159,160,160,46.3814757201755,46,180,180,39.5073254190107,40,173.933293226103,174,38.2137977950253,38,174.066234666876,174
6.45,157.883490910108,158,160,160,43.1034518782939,43,180,180,36.5390613279742,37,172.514195519497,173,40.8589820647257,41,177.418670245855,177
6.5,155.562081860849,156,160,160,39.662309346527,40,180,180,33.3460134711318,33,170.930909298083,171,43.7119724322321,44,180,180
6.55,152.725833263306,153,160,160,36.0315313594659,36,180,180,29.993222242101,30,169.075845732396,169,46.4584540726007,46,180,180
6.6,149.4059078241,149,160,160,32.20104383734,32,180,180,26.4707901390816,26,166.926208947678,167,49.0693143842872,49,180,180
6.65,145.693397147215,146,160,160,28.2578680452191,28,178.948377091514,179,22.7825119591433,23,164.453525543132,164,52.0984586392413,52,180,180
6.7,148.122922411618,148,160,160,26.1182186865655,26,179.513630827854,180,22.4863911177183,22,166.306141965997,166,55.9199120713833,56,180,180
6.75,151.117975912938,151,160,160,27.5597809494369,28,180,180,23.0772089940284,23,168.836235990759,169,59.2964495208065,59,180,180
6.8,153.417337493363,153,160,160,30.5665999196251,31,180,180,25.0253796676044,25,171.788697809048,172,56.8764413693652,57,180,180
6.85,155.344483492401,155,160,160,34.3372418027589,34,180,180,28.0029579726661,28,173.529661443248,174,54.2137160460616,54,180,180
6.9,156.880760412296,157,160,160,38.1147101051081,38,180,180,31.1750150849995,31,174.522350389174,175,51.6365491402285,52,179.239107129296,179
6.95,157.867215887048,158,160,160,41.8710930181624,42,180,180,34.6462688977322,35,175.358978838664,175,49.474379526652,49,177.988184255813,178
7,158.508281397889,159,160,160,45.5897670048896,46,180,180,38.326901993751,38,176.752888941179,177,50.5102744960685,51,178.131524148427,178
7.05,159.204723038367,159,160,160,49.1989343060545,49,180,180,41.8183037962335,42,179.022125555169,179,50.1719103604792,50,177.166408382284,177
7.1,159.854346588769,160,160,160,52.6541516537415,53,180,180,43.5386277987624,44,179.616268043505,180,48.037681217005,48,176.101221474202,176
7.15,160.160512862694,160,160,160,49.3670381863913,49,180,180,41.7988403511796,42,176.61226767179,177,44.8556453749238,45,176.707520568014,177
7.2,159.492877884449,159,160,160,46.1557079808025,46,180,180,39.0680840603556,39,175.272441675887,175,45.1675870831111,45,179.229928840316,179
7.25,157.912289036791,158,160,160,43.0434518524811,43,180,180,36.1463417764623,36,173.997555287437,174,48.071902331942,48,180,180
7.3,155.618700525974,156,160,160,39.7966773812548,40,180,180,33.0606345857587,33,172.487073398662,172,51.371737816372,51,180,180
7.35,152.712491982408,153,160,160,36.3357830755944,36,180,180,29.7935292517716,30,170.707152629753,171,54.7525758867379,55,180,180
7.4,149.305923634101,149,160,160,32.6364030512468,33,180,180,26.3258799688734,26,168.652538468376,169,58.0491992471227,58,180,180
7.45,145.731062061906,146,160,160,28.7246184320733,29,178.916585396697,179,22.6330741006445,23,166.295801081531,166,60.8020002575345,61,180,180
7.5,142.567775333176,143,160,160,25.091010921393,25,175.842364680148,176,18.8543361034677,19,164.598678463701,165,61.2420459527149,61,180,180
7.55,146.51626844958,147,160,160,24.7701835727896,25,178.903249927271,179,16.2784313649259,16,167.248314503602,167,61.2792549556318,61,180,180
7.6,149.037001112581,149,160,160,27.0588485473907,27,180,180,17.8147224132135,18,170.060707159816,170,58.5215389884276,59,180,180
7.65,151.104436282068,151,160,160,30.786692248985,31,180,180,20.7434532432304,21,172.990547021796,173,55.8076935449132,56,180,180
7.7,153.138156689405,153,160,160,34.5380477434759,35,180,180,23.8273840818999,24,174.174882964041,174,52.983407463717,53,180,180
7.75,154.871075554571,155,160,160,38.3019032286424,38,180,180,26.974964444054,27,174.927375242023,175,50.2521308221641,50,180,180
7.8,156.102499284892,156,160,160,42.049780729334,42,180,180,30.4653263758093,30,175.67567341233,176,47.7343458378707,48,180,180
7.85,156.83240443406,157,160,160,45.7691834357541,46,180,180,34.1750921794207,34,177.120674718213,177,48.5522691964553,49,179.903252523238,180
7.9,157.640277638923,158,160,160,49.3859015799094,49,180,180,37.6292165085796,38,179.567245901166,180,47.9442362745023,48,178.576627005902,179
7.95,158.4627528054,158,160,160,52.977446843995,53,180,180,39.4966015163686,39,180,180,45.7392725545761,46,177.376863584112,177
8,158.965555562028,159,160,160,56.5077724512542,57,180,180,42.7568042898381,43,180,180,46.2839558685597,46,178.031167256283,178
8.05,159.604299049892,160,160,160,55.8810356009002,56,180,180,44.1563193016219,44,179.747024556017,180,44.3936400095399,44,176.750295871882,177
8.1,159.198082889089,159,160,160,52.6747158918557,53,180,180,41.8588200006011,42,177.601665535005,178,41.8853828097302,42,177.953906597545,178
8.15,157.992213141462,158,160,160,49.8079155208828,50,180,180,39.1433084579643,39,176.482320999447,176,44.6257057700241,45,180,180
8.2,155.927719412081,156,160,160,46.8266184772909,47,180,180,36.1658734659034,36,175.286284057446,175,48.2680834613706,48,180,180
8.25,153.277128074198,153,160,160,43.6564891547395,44,180,180,33.024097986154,33,173.830363520642,174,51.8921591922265,52,180,180
8.3,150.339241686106,150,160,160,40.2722361429626,40,180,180,29.7109315678357,30,172.097261203879,172,55.4721172928119,55,180,180
8.35,147.07505716321,147,160,160,36.6853350343734,37,177.872588880401,178,26.223393610423,26,170.088190071885,170,59.0038541389413,59,180,180
