time_s,hip_fl_deg,hip_fl_cmd,knee_fl_deg,knee_fl_cmd,hip_fr_deg,hip_fr_cmd,knee_fr_deg,knee_fr_cmd,hip_rl_deg,hip_rl_cmd,knee_rl_deg,knee_rl_cmd,hip_rr_deg,hip_rr_cmd,knee_rr_deg,knee_rr_cmd
1.975,28.6917099660879,29,180,180,30.9819891739529,31,177.23866312548,177,29.0880199232083,29,173.047364820032,173,34.1370387842176,34,180,180
2,30.392744178474,30,180,180,29.3768157101743,29,175.923874497201,176,27.4245381799685,27,171.896691127265,172,35.584054092799,36,180,180
2.025,32.2015243202346,32,180,180,27.8769277835056,28,174.473176952443,174,25.8107801162289,26,170.678781668916,171,37.0810845316312,37,180,180
2.05,34.0749597636491,34,180,180,26.5609201475358,27,172.824815600275,173,24.2836894284322,24,169.391033948993,169,38.5935152220057,39,180,180
2.075,35.9700792152601,36,180,180,25.4395829173463,25,170.972283749585,171,22.7941183224882,23,168.107385939425,168,40.2188867581606,40,180,180
2.1,37.923477530561,38,180,180,24.5033209449449,25,168.987629875636,169,21.3957932067103,21,166.694697922894,167,41.5844460809886,42,180,180
2.125,39.8776304017187,40,180,180,23.6865370556873,24,167.519882788243,168,21.4559479422807,21,166.765514724347,167,43.2198956418895,43,180,180
2.15,41.6531996942392,42,180,180,22.775831367547,23,165.979641389552,166,20.3648832381443,20,165.254331747551,165,44.5437070027388,45,180,180
2.175,41.0355961561871,41,180,180,21.7998159772402,22,164.719155208683,165,20.121544824714,20,166.017462064597,166,46.3859019951654,46,180,180
2.2,39.5129584942982,40,180,180,21.2073067657644,21,166.129852202982,166,20.214881208477,20,167.13744568865,167,48.3861814958517,48,180,180
2.225,38.0365595387104,38,180,180,21.12828734922,21,167.629074415108,168,19.3656221343353,19,168.932524694789,169,48.6003330523488,49,180,180
2.25,36.9854362079138,37,180,180,21.6255364043597,22,168.904749114715,169,20.2882520064494,20,170.340997945954,170,47.5274240226206,48,180,180
2.275,36.0293355406412,36,180,180,22.4804233189117,22,170.305236124386,170,21.4188779130713,21,171.878469036779,172,46.4263953320305,46,180,180
2.3,35.0814201663248,35,180,180,23.5680323431239,24,171.807600955294,172,22.6581379676049,23,173.403347588208,173,45.2626053821098,45,180,180
2.325,34.097356049142,34,180,180,24.8101709715449,25,173.375332415377,173,24.0036443973289,24,174.810527283161,175,44.0483389608608,44,180,180
2.35,33.0891251712017,33,180,180,26.1723603724292,26,174.990884726445,175,25.3992670918606,25,175.959421893566,176,42.7913574299519,43,180,180
2.375,32.037799096878,32,179.284999036393,179,27.6416800333008,28,176.645643732761,177,26.8071898637384,27,176.944803294688,177,41.4909344449403,41,180,180
2.4,30.9322498260492,31,178.316009801472,178,29.2151605904561,29,178.33362227295,178,28.2026395580156,28,177.753459582649,178,40.151205296657,40,180,180
2.425,29.7679165946759,30,177.338602347585,177,30.8906642778564,31,180,180,29.567796053613,30,178.449613159766,178,38.7759764769088,39,180,180
2.45,28.5508908059792,29,176.337572418476,176,32.6615491503497,33,180,180,30.9280413424797,31,179.106909831917,179,37.3713095898971,37,180,180
