time_ms,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
8600,100,106,119,90,89,104,110,90,90,98,57,63,93,66,50,90
8650,100,103,118,90,89,107,114,90,90,98,55,64,93,68,50,90
8700,100,100,117,90,89,111,117,90,90,98,53,66,93,71,51,90
8750,100,97,116,90,89,115,121,90,90,98,51,68,93,73,50,90
8800,100,94,117,90,89,118,124,90,90,98,49,71,93,74,50,90
8850,100,97,117,90,89,122,127,90,90,98,47,73,93,77,50,90
8900,100,100,116,90,89,126,125,90,90,98,45,75,93,78,51,90
8950,100,98,115,90,89,129,125,90,90,98,44,77,93,80,53,90
9000,100,96,115,90,89,132,124,90,90,98,43,80,93,81,51,90
9050,100,98,114,90,89,136,122,90,90,98,43,83,93,85,53,90
9100,100,96,113,90,89,136,119,90,90,98,42,86,93,86,53,90
9150,100,95,114,90,89,134,117,90,90,98,41,86,93,85,51,90
9200,100,95,115,90,89,131,116,90,90,98,42,83,93,82,50,90
9250,100,98,116,90,89,128,114,90,90,98,44,79,93,79,50,90
9300,100,101,117,90,89,125,112,90,90,98,46,76,93,76,50,90
9350,100,105,117,90,89,121,110,90,90,98,49,72,93,73,50,90
9400,100,108,119,90,89,118,107,90,90,98,52,69,93,69,50,90
9450,100,108,120,90,89,114,105,90,90,98,55,65,93,65,50,90
9500,100,109,120,90,89,110,102,90,90,98,59,66,93,60,50,90
9550,100,108,121,90,89,107,101,90,90,98,60,69,93,60,50,90
9600,100,107,119,90,89,106,105,90,90,98,58,69,93,61,50,90
9650,100,105,118,90,89,109,108,90,90,98,56,71,93,63,50,90
9700,100,102,117,90,89,113,111,90,90,98,54,72,93,66,50,90
9750,100,100,118,90,89,114,115,90,90,98,52,74,93,67,50,90
9800,100,103,119,90,89,116,118,90,90,98,50,75,93,68,50,90
9850,100,107,116,90,89,119,120,90,90,98,48,77,93,68,50,90
9900,100,107,114,90,89,122,120,90,90,98,47,78,93,69,50,90
9950,100,105,113,90,89,125,121,90,90,98,46,81,93,72,50,90
10000,100,105,114,90,89,128,122,90,90,98,46,83,93,73,50,90
